source	class_strict	stratum	n	pearson_r	spearman_r	rmse	ci	mean_err	cos_spearman
klaeger	A	TIGHT	153	0.0465784988377734	0.06752530158057969	1.0553114515179876	0.5232771421084811	-0.6342157006436194	0.10398098755327861
klaeger	A	MODERATE	201	0.04378482511953525	0.04119787645172364	1.082467206084741	0.5124440019910403	0.7528622713473674	0.09015254231087944
klaeger	A	WEAK	7	0.32230944759501867	0.21428571428571433	1.8989667036489526	0.5714285714285714	1.8090912926922	-0.5714285714285715
klaeger	A	ALL	361	0.22652950938681113	0.22704502664231604	1.09285604279388	0.5766850334151348	0.18546801493405116	0.1159159112371055
klaeger	B	TIGHT	140	0.06609492178657296	0.0377991592011941	1.167889985866364	0.5115769712140176	-0.8138376969399299	0.07689540198587921
klaeger	B	MODERATE	609	0.0810313405041837	0.07116669527659726	1.244896438280924	0.5244156770366208	0.9318932830268158	0.015175633257994856
klaeger	B	WEAK	40	-0.18984304251771011	-0.08292682926829269	2.2818444342564184	0.4653846153846154	2.1364848183274883	-0.06604127579737337
klaeger	B	ALL	789	0.06830202712115384	0.06999508137097989	1.3046840315315027	0.5236196141292803	0.6832004113115845	0.11761672484674743
klaeger	B_drug_seen_only	TIGHT	0						
klaeger	B_drug_seen_only	MODERATE	0						
klaeger	B_drug_seen_only	WEAK	0						
klaeger	B_drug_seen_only	ALL	0						
klaeger	B_combo	TIGHT	576	-0.08965285144706943	-0.03819503198850903	1.3343513562294327	0.48793501632555547	-0.934098577602599	0.08664065414035664
klaeger	B_combo	MODERATE	2448	0.03624878552980743	0.034000902731327685	1.1512389892054171	0.5113522540350526	0.7599768368248928	0.07174943955403608
klaeger	B_combo	WEAK	171	0.09644598738218624	0.1835169318645451	2.387039907311817	0.5611283109735122	2.1864051380984777	-0.009393524851801187
klaeger	B_combo	ALL	3195	0.013877686233142561	0.0318612998161487	1.2811838129770265	0.5106766950323426	0.5309101078131706	0.11047760279219761
klaeger	C_strict	TIGHT	0						
klaeger	C_strict	MODERATE	0						
klaeger	C_strict	WEAK	0						
klaeger	C_strict	ALL	0						
davis	A	TIGHT	140	0.25125055812051805	0.25630192427782156	1.415377581365012	0.5854414042333506	-1.1724511820914494	0.20560443182434177
davis	A	MODERATE	100	-0.025853251537685487	-0.0473049622759624	1.1311093400438164	0.48043212392988177	0.8005470219485629	0.20074900826803682
davis	A	WEAK	0						
davis	A	ALL	240	0.19393922248804746	0.20848412829721363	1.3044825787927847	0.5696897625126788	-0.3503685970747776	0.3313630528737406
davis	B	TIGHT	542	0.13875331415322437	0.14096210466548512	1.4509757207470475	0.5472988296417453	-1.207000446658762	0.20124889200387952
davis	B	MODERATE	1783	0.034239813448314615	0.021076874257866876	0.8980666961214739	0.5070258883290653	0.3697642642669367	0.07558456367017213
davis	B	WEAK	0						
davis	B	ALL	2325	0.09844800466161734	0.07130600458298265	1.0532328261545252	0.5240693982585283	0.0021915875694190202	0.20532590047020874
davis	B_drug_seen_only	TIGHT	343	0.0440053950996509	0.08111568855264313	1.563867758931362	0.5261452475654917	-1.2510384358728213	0.28368982488102423
davis	B_drug_seen_only	MODERATE	919	-0.004919059572854422	0.011161108679069753	1.0521884918284317	0.503881220065058	0.7303580066415465	0.08746006260475647
davis	B_drug_seen_only	WEAK	0						
davis	B_drug_seen_only	ALL	1262	0.03616087833058678	0.033782919527922346	1.2128127789277188	0.5114263906405199	0.19183266608494742	0.2480947786391026
davis	B_combo	TIGHT	566	0.14946269600801085	0.12638603627403927	1.3760799241341002	0.5425493060628196	-1.0951516251851714	0.26535513429611085
davis	B_combo	MODERATE	1998	0.032882306241596604	0.030297133532833677	1.073748339359005	0.5102920654285638	0.7399406618014492	0.13254215732905913
davis	B_combo	WEAK	0						
davis	B_combo	ALL	2564	0.11104457940464492	0.0915984434567522	1.1473601991123472	0.5308743088269642	0.33484618659301424	0.2835635312239929
davis	C_strict	TIGHT	254	-0.07846691945634622	-0.08903689766751612	1.4329849341013599	0.46977298382039384	-1.1764794406719996	0.13730883800473445
davis	C_strict	MODERATE	784	0.04095634463973476	0.03455585809115045	0.872241116399397	0.5114972198200035	0.40858246928368286	0.01742321213404203
davis	C_strict	WEAK	0						
davis	C_strict	ALL	1038	0.03973367638106498	0.03530025693660739	1.037841810673676	0.5116958955049566	0.02071568206909391	0.10105141457207545
bindingdb	A	TIGHT	1834	0.23212379320321863	0.2201746489440066	1.5673327089856508	0.5748622521857505	-1.3004997000838132	0.1192259978134303
bindingdb	A	MODERATE	1096	0.10147204872230382	0.07617764488277232	0.9774844767696614	0.5273108246076407	0.44839008605374153	0.1623747241635317
bindingdb	A	WEAK	88	0.2122907694778109	0.17857920924413173	1.5718059538601339	0.5595682302771855	1.3266885578833736	0.07591698634475871
bindingdb	A	ALL	3018	0.3639202095965579	0.3310824887543563	1.382688032385262	0.6146316148693483	-0.5887781055484015	0.20013316294238087
bindingdb	B	TIGHT	3451	0.04837341679426695	0.10023344401120234	1.6667589669979368	0.5352216529685557	-1.256612946361899	0.018116933519306266
bindingdb	B	MODERATE	5462	0.14942186207382285	0.14806457492080266	1.1856401771855696	0.5499310036248067	0.725212151766912	0.4027280115305362
bindingdb	B	WEAK	2052	0.28576540296197117	0.27744241892149174	2.0778737290024294	0.5963133263563692	1.8418092220581355	0.1442343604474772
bindingdb	B	ALL	10965	0.400153028216551	0.397542232068827	1.5435602568724784	0.6385717231494175	0.31043593421972226	0.3244972942527294
bindingdb	B_drug_seen_only	TIGHT	1492	0.10101750425155748	0.10206873878716975	1.8341666278004272	0.5347151481066568	-1.5220602035321906	0.2634369911441128
bindingdb	B_drug_seen_only	MODERATE	7082	-0.1278864004094384	-0.12205293610574505	1.4828540683014237	0.435227076518436	1.2251241650366302	0.2696886138288257
bindingdb	B_drug_seen_only	WEAK	196	0.471097651382585	0.4737890837418805	1.8267257715415623	0.66300395256917	1.5952131718817466	-0.028850403512810267
bindingdb	B_drug_seen_only	ALL	8770	0.020016043469369485	-0.035413366426706776	1.5564510516205157	0.4838398796123791	0.7660293380625094	0.4206077505326756
bindingdb	B_combo	TIGHT	3049	0.030469687451777236	0.01657930692550741	1.8011141749518054	0.5060474755043791	-1.4859070391681162	-0.04864827152880497
bindingdb	B_combo	MODERATE	21129	0.035972382012686314	0.037525215126095336	1.498781612236961	0.5248765860497061	1.2724303660826006	0.270027895323802
bindingdb	B_combo	WEAK	291	0.4106720015065703	0.32105316656020294	1.7757951874164168	0.6119320767370009	1.516037130337484	0.06466290491233818
bindingdb	B_combo	ALL	24469	0.10196306589644734	0.0913598256473483	1.543194715852498	0.5380016058037056	0.9316203133541988	0.32896943060321365
bindingdb	C_strict	TIGHT	1032	0.09846775875598372	0.1307526274585535	2.0062201417365646	0.5452317471594935	-1.6780263015719796	0.17256741132793046
bindingdb	C_strict	MODERATE	2137	0.14032076496325666	0.11759171568044972	1.0312259266407553	0.5384133781926688	0.4778128183464398	0.30691878597251604
bindingdb	C_strict	WEAK	1159	0.2862436321626121	0.27386609821243474	1.9303419724499136	0.5913332763755675	1.658380881457943	-0.07899818776146864
bindingdb	C_strict	ALL	4328	0.39512223429319016	0.38987596109364764	1.5756456525957536	0.633724946112997	0.27990441108914393	0.221425483199729
ALL_3_C_STRICT	C_strict	TIGHT	1286	0.08093171433891892	0.09864288358259046	1.906706652355292	0.5339927022485786	-1.5789649464642075	0.20350378968766505
ALL_3_C_STRICT	C_strict	MODERATE	2921	0.12464757468577545	0.11211712753651414	0.9910614012108525	0.5371561034739276	0.459231307334731	0.23311234959905205
ALL_3_C_STRICT	C_strict	WEAK	1159	0.2862436321626121	0.27386609821243474	1.9303419724499136	0.5913332763755675	1.658380881457943	-0.07899818776146864
ALL_3_C_STRICT	C_strict	ALL	5366	0.3744364287232297	0.34975996162103534	1.4868660388146926	0.619390628887516	0.22976689697755018	0.19082457809176986
